Statistical profiling result from isolate-0x292e220-v8.log, (177218 ticks, 20473 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     21    0.0%    0.0%  Stub: StoreFieldStub {11}
     21    0.0%    0.0%  Stub: RecordWriteStub {23}
     21    0.0%    0.0%  LazyCompile: *module.exports /home/substack/projects/osm-p2p/node_modules/after-all/index.js:7:26
     21    0.0%    0.0%  LazyCompile: *exports.bytes.encodingLength /home/substack/projects/osm-p2p/node_modules/protocol-buffers/encodings.js:22:33
     21    0.0%    0.0%  LazyCompile: *dispatchError /home/substack/projects/osm-p2p/node_modules/levelup/lib/util.js:63:24
     20    0.0%    0.0%  Stub: StoreTransitionStub {8}
     20    0.0%    0.0%  Stub: RecordWriteStub {7}
     20    0.0%    0.0%  LazyCompile: ~slowToString buffer.js:426:22
     20    0.0%    0.0%  LazyCompile: *toLowerCase native string.js:344:29
     20    0.0%    0.0%  LazyCompile: *FramedHash /home/substack/projects/osm-p2p/node_modules/framed-hash/index.js:3:27
     20    0.0%    0.0%  Handler: v {6}
     20    0.0%    0.0%  Handler: v {34}
     20    0.0%    0.0%  Handler: v {19}
     20    0.0%    0.0%  Handler: isSelfClosing
     20    0.0%    0.0%  Builtin: ArrayPush
     19    0.0%    0.0%  Stub: RecordWriteStub {17}
     19    0.0%    0.0%  Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String)
     19    0.0%    0.0%  LazyCompile: *writeOrBuffer /home/substack/projects/osm-p2p-server/node_modules/concat-stream/node_modules/readable-stream/lib/_stream_writable.js:304:23
     19    0.0%    0.0%  LazyCompile: *readableAddChunk /home/substack/projects/osm-p2p-server/node_modules/readable-stream/lib/_stream_readable.js:185:26
     19    0.0%    0.0%  LazyCompile: *exports.bytes.encode /home/substack/projects/osm-p2p/node_modules/protocol-buffers/encodings.js:27:25
     19    0.0%    0.0%  LazyCompile: *Logs.key /home/substack/projects/osm-p2p/node_modules/level-logs/index.js:19:31
     19    0.0%    0.0%  Handler: v {35}
     19    0.0%    0.0%  Handler: length
     18    0.0%    0.0%  Stub: CompareICStub {2}
     18    0.0%    0.0%  Stub: BinaryOpICStub {6}
     18    0.0%    0.0%  LazyCompile: ~postHashing /home/substack/projects/osm-p2p/node_modules/hyperlog/index.js:363:26
     18    0.0%    0.0%  LazyCompile: ~Socket._writeGeneric net.js:654:42
     18    0.0%    0.0%  LazyCompile: *onwrite _stream_writable.js:329:17
     18    0.0%    0.0%  LazyCompile: *Buffer.toString buffer.js:492:37
     18    0.0%    0.0%  Handler: v {28}
     18    0.0%    0.0%  Handler: v {27}
     17    0.0%    0.0%  Stub: StoreTransitionStub {1}
     17    0.0%    0.0%  LazyCompile: *defineProperty native v8natives.js:580:30
     17    0.0%    0.0%  Handler: v {31}
     17    0.0%    0.0%  Handler: toLowerCase
     16    0.0%    0.0%  Stub: ToBooleanStub(Null)
     16    0.0%    0.0%  Stub: RecordWriteStub {6}
     16    0.0%    0.0%  Stub: RecordWriteStub {15}
     16    0.0%    0.0%  LazyCompile: ~IncomingMessage._addHeaderLines _http_incoming.js:103:53
     16    0.0%    0.0%  LazyCompile: *writeOrBuffer /home/substack/projects/osm-p2p-server/node_modules/through2/node_modules/readable-stream/lib/_stream_writable.js:280:23
     16    0.0%    0.0%  LazyCompile: *substring native string.js:294:25
     16    0.0%    0.0%  LazyCompile: *isNaN native v8natives.js:28:21
     16    0.0%    0.0%  LazyCompile: *<anonymous> /home/substack/projects/osm-p2p/node_modules/hyperlog-index/index.js:27:31
     16    0.0%    0.0%  Handler: v {15}
     16    0.0%    0.0%  Handler: An IC handler from the snapshot {20}
     15    0.0%    0.0%  Stub: ToBooleanStub(String)
     15    0.0%    0.0%  Stub: RecordWriteStub {10}
     15    0.0%    0.0%  LazyCompile: *getLinks /home/substack/projects/osm-p2p/node_modules/hyperlog/index.js:175:25
     15    0.0%    0.0%  LazyCompile: *exports.decode /home/substack/projects/osm-p2p/node_modules/hyperlog/lib/encode.js:11:27
     15    0.0%    0.0%  LazyCompile: *charAt native string.js:40:24
     15    0.0%    0.0%  LazyCompile: *<anonymous> /home/substack/projects/osm-p2p-server/lib/replace_ids.js:39:48
     15    0.0%    0.0%  Handler: v {30}
     15    0.0%    0.0%  Handler: v {13}
     15    0.0%    0.0%  Handler: _maxListeners
     15    0.0%    0.0%  Builtin: FunctionPrototypeApply
     14    0.0%    0.0%  Stub: LoadFieldStub {5}
     14    0.0%    0.0%  Stub: CompareICStub {15}
     14    0.0%    0.0%  LazyCompile: stringify native json.js:162:23
     14    0.0%    0.0%  LazyCompile: *smallToArray /home/substack/projects/osm-p2p-server/node_modules/big-integer/BigInteger.js:34:26
     14    0.0%    0.0%  LazyCompile: *filterProps /home/substack/projects/osm-p2p-server/node_modules/obj2osm/index.js:106:22
     14    0.0%    0.0%  Handler: v {37}
     14    0.0%    0.0%  Handler: toUpperCase
     13    0.0%    0.0%  Stub: StringAddStub_ConvertRight_NotTenured
     13    0.0%    0.0%  Stub: LoadFieldStub {9}
     13    0.0%    0.0%  Stub: LoadFastElementStub {1}
     13    0.0%    0.0%  Stub: LoadDictionaryElementStub
     13    0.0%    0.0%  LazyCompile: ~OutgoingMessage.end _http_outgoing.js:532:41
     13    0.0%    0.0%  Handler: An IC handler from the snapshot {21}
     13    0.0%    0.0%  Builtin: HandleApiCall
     12    0.0%    0.0%  Stub: StoreTransitionStub {3}
     12    0.0%    0.0%  Stub: StoreFieldStub {6}
     12    0.0%    0.0%  Stub: StoreFieldStub {4}
     12    0.0%    0.0%  Stub: RecordWriteStub {5}
     12    0.0%    0.0%  Stub: LoadConstantStub {7}
     12    0.0%    0.0%  Stub: FastNewContextStub {5}
     12    0.0%    0.0%  Stub: CompareICStub {11}
     12    0.0%    0.0%  LazyCompile: *op /home/substack/projects/osm-p2p/node_modules/errno/node_modules/prr/prr.js:28:27
     12    0.0%    0.0%  LazyCompile: *<anonymous> /home/substack/projects/osm-p2p-server/node_modules/readable-stream/lib/_stream_readable.js:600:19
     12    0.0%    0.0%  Handler: An IC handler from the snapshot {1}
     11    0.0%    0.0%  Stub: StoreTransitionStub {14}
     11    0.0%    0.0%  Stub: FastCloneShallowObjectStub {1}
     11    0.0%    0.0%  Stub: CompareICStub {4}
     11    0.0%    0.0%  Stub: CallApiAccessorStub {3}
     11    0.0%    0.0%  Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String) {2}
     11    0.0%    0.0%  RegExp: [\\/!]$
     11    0.0%    0.0%  RegExp: !$
     11    0.0%    0.0%  LazyCompile: ~f /home/substack/projects/osm-p2p/node_modules/once/once.js:14:20
     11    0.0%    0.0%  LazyCompile: *join native array.js:356:19
     11    0.0%    0.0%  LazyCompile: *howMuchToRead /home/substack/projects/osm-p2p-server/node_modules/through2/node_modules/readable-stream/lib/_stream_readable.js:255:23
     11    0.0%    0.0%  LazyCompile: *<anonymous> /home/substack/projects/osm-p2p/node_modules/hyperlog-index/index.js:24:34
     11    0.0%    0.0%  LazyCompile: *<anonymous> /home/substack/projects/osm-p2p-server/api/put_changes.js:31:32
     11    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot {3}
     11    0.0%    0.0%  Handler: toString {NaN}
     11    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash f811b12) {1}
     11    0.0%    0.0%  Handler: pop
     11    0.0%    0.0%  Handler: asBuffer
